filename,gt_plate,pred_raw,pred_defog,acc_raw,acc_defog,conf_raw,conf_defog,brightness_raw,brightness_defog,sharp_raw,sharp_defog
20240611_153155_resized.jpg,06219U1,06219U1,06219U1,1.0,1.0,0.67138671875,0.712890625,187.35759386219766,160.8246811279167,297.7311542382345,2395.6144024826453
IMG_0743_resized.jpg,WLSOP,WLSOP,WLSOP,1.0,1.0,0.65087890625,0.88037109375,180.18003013480342,146.53063354167543,297.42537131833836,1652.1277013978552
IMG_0771_resized.jpg,LCBW31,LCBW31,LCBW31,1.0,1.0,0.57568359375,0.5341796875,179.37979062670593,147.93989759612694,325.1453958300855,1637.5871082028716
IMG_1083_resized.jpg,QNAH46,QNAH48,QNAH46,0.8333333333333334,1.0,0.591796875,0.65673828125,180.48258063031025,144.6706277305804,303.6140629427591,1830.603352167429
IMG_2323.jpeg,1431529,1431529,1431529,1.0,1.0,0.83935546875,0.85302734375,179.41741213589344,142.9331062205618,459.9790415045393,2191.3221359202835
IMG_2324.jpeg,1431380,UCSDD8,UCSDDG,0.1428571428571429,0.0,0.76611328125,0.81494140625,187.81220211850172,152.84573040893312,562.7985865048904,2819.0224327450023
IMG_2325(1).jpeg,CTA9646,CTA9646,CTA9646,1.0,1.0,0.88671875,0.89111328125,181.60086465463243,141.8992463948028,307.647092646141,1661.98839303774
IMG_2326.jpeg,1431417,1431417,1431417,1.0,1.0,0.87353515625,0.87548828125,179.77631972767244,141.2437480425555,312.34985498334015,1666.1742583066314
IMG_2327.jpeg,1594530,1594530,1594530,1.0,1.0,0.88818359375,0.88720703125,182.71762170821262,147.1826970162422,307.3099215374738,1672.25806180088
IMG_2328.jpeg,1392958,199295,1992958,0.7142857142857143,0.8571428571428572,0.8515625,0.8671875,182.63596972675387,143.26855613644634,296.78323978349954,1571.7239925835095
IMG_2329.jpeg,6996G1,CJ5501,C75601,0.16666666666666663,0.33333333333333337,0.8359375,0.8369140625,176.34437635490153,135.90442531179139,298.07622140161,1421.8152426203978
IMG_2334.jpeg,"7SFA191,6FBV284",6FBV284,6FBV284,1.0,1.0,0.6142578125,0.5205078125,169.39968348450492,128.14064670685661,1146.8128976738105,3455.6301112807478
IMG_2335.jpeg,8VAC115,8VAC115,0VAC115,1.0,0.8571428571428572,0.85986328125,0.85888671875,167.49789358741182,124.06481615440673,296.4411152578233,1417.7320687961292
IMG_2336.jpeg,7SFA,,,0.0,0.0,0.0,0.0,169.40529514435661,124.10667834681455,298.8143563459759,1412.675002916504
IMG_2338.jpeg,"9BYV861,8LYK834",9BYV861,9BYV861,1.0,1.0,0.83740234375,0.859375,174.5082600603899,125.15429422315479,296.1772522032274,1618.3690071823746
IMG_2341.jpeg,9685,91685,91685,0.8,0.8,0.83251953125,0.83984375,173.6204542452269,131.69076551498944,299.23982806319697,1547.2189530354274
IMG_2342.jpeg,9KIC227,9KIC227,9KICZ27,1.0,0.8571428571428572,0.4951171875,0.78759765625,173.71442404765403,128.47359191393892,301.791064468397,1456.401766751043
IMG_2343.jpeg,"7L7S369,9KIC227",7LZS369,71ZS369,0.8571428571428572,0.7142857142857143,0.82763671875,0.85009765625,172.68031997875025,127.9332987117172,300.284748954948,1394.0374780218017
IMG_2344.jpeg,8UPR353,,8UPR353,0.0,1.0,0.0,0.728515625,173.6266165320295,129.86443854805296,302.45987342657776,1470.2593662897928
IMG_2345.jpeg,7NET760,ZNET760,7NET760,0.8571428571428572,1.0,0.82861328125,0.8115234375,177.77914107225968,134.5936117213089,329.56814530954665,1827.761102624353
IMG_2346.jpeg,1470349,,,0.0,0.0,0.0,0.0,169.4405692784444,128.25886957470746,328.3760734996537,1435.5222415450353
IMG_2347.jpeg,6UER269,6UER269,6UER269,1.0,1.0,0.89892578125,0.8662109375,179.50201403542383,137.80227587916596,349.21534215404455,2006.6676251218282
IMG_2348.jpeg,8CJE008,8CJE008,8CJE008,1.0,1.0,0.83447265625,0.841796875,176.98462801883872,133.41029258764976,311.4236768869549,1832.4233762977276
IMG_2349.jpeg,8CJE008,8CJE008,8CJE008,1.0,1.0,0.88623046875,0.87548828125,168.662414993325,126.44214368167535,295.883177962156,1686.1903274124058
IMG_2354.jpeg,8NKH450,BNKH450,8NKH450,0.8571428571428572,1.0,0.82177734375,0.8193359375,169.05618311335593,131.21880754777476,318.1223722075648,1699.4181814776057
IMG_2366.jpeg,7EZU047,7E7U047,7E70047,0.8571428571428572,0.7142857142857143,0.87451171875,0.86962890625,165.08978133595258,126.65999620977506,322.3950503984902,1646.2200585679343
IMG_2371.jpeg,8UZG115,8UZG115,8UZG115,1.0,1.0,0.85693359375,0.8642578125,174.38551497630945,131.85938629084606,746.2795283971152,2863.7167704961203
IMG_2378_frame_000341.jpeg,8VEL356,,BVF1354,0.0,0.4285714285714286,0.0,0.63134765625,146.56715309927984,121.2886032343107,984.7946016419961,3729.306402359791
IMG_2379_frame_000228.jpeg,9LWB035,,9LWB035,0.0,1.0,0.0,0.55615234375,117.92003391846708,103.29221836419752,1450.7790753972367,5391.111486470616
IMG_2379_frame_000499.jpeg,BEMN247,BEMW247,BEMW247,0.8571428571428572,0.8571428571428572,0.75634765625,0.74609375,151.66544013631687,127.02911538708848,1146.3302695713426,4535.890177891611
IMG_2381_frame_000598.jpeg,88681A4,,,0.0,0.0,0.0,0.0,109.4005116705247,92.02000257201647,729.2743711207636,2883.817922916534
IMG_2382_frame_000182.jpeg,7LCY720,LLCY722,7LCY722,0.7142857142857143,0.8571428571428572,0.546875,0.58251953125,125.59317499356996,107.005189686214,1145.2232396433135,4357.346581967246
IMG_2382_frame_000276.jpeg,9FGS754,9FGJ754,9FGJ754,0.8571428571428572,0.8571428571428572,0.73193359375,0.7529296875,96.6255028292181,82.2619860789609,317.15964649406817,1042.3194072544313
IMG_2383_frame_000484.jpeg,1431555,AK34554,1A3455,0.4285714285714286,0.5714285714285714,0.671875,0.78564453125,107.98718782150206,87.18817274305556,857.6710501408497,3107.3389229004583
IMG_2383_frame_000633.jpeg,9NM2053,,,0.0,0.0,0.0,0.0,107.48171810699588,85.94822755915638,531.5292886135691,1803.506942811393
IMG_2383_frame_000763.jpeg,1642116,,,0.0,0.0,0.0,0.0,139.11452160493826,107.03608442644033,1411.1291010689915,5890.895458958323
